CustomerID,Cluster
C0001,1
C0002,2
C0003,1
C0004,0
C0005,4
C0006,1
C0007,4
C0008,0
C0009,4
C0010,2
C0011,1
C0012,3
C0013,3
C0014,2
C0015,4
C0016,4
C0017,0
C0018,0
C0019,1
C0020,4
C0021,3
C0022,3
C0023,3
C0024,1
C0025,2
C0026,1
C0027,1
C0028,0
C0029,2
C0030,1
C0031,1
C0032,2
C0033,2
C0034,1
C0035,1
C0036,1
C0037,1
C0038,1
C0039,1
C0040,4
C0041,0
C0042,4
C0043,2
C0044,4
C0045,0
C0046,0
C0047,1
C0048,4
C0049,2
C0050,4
C0051,3
C0052,1
C0053,3
C0054,3
C0055,1
C0056,4
C0057,1
C0058,4
C0059,3
C0060,2
C0061,4
C0062,2
C0063,2
C0064,1
C0065,0
C0066,4
C0067,1
C0068,0
C0069,1
C0070,1
C0071,2
C0072,1
C0073,1
C0074,4
C0075,0
C0076,1
C0077,2
C0078,4
C0079,4
C0080,4
C0081,1
C0082,3
C0083,2
C0084,0
C0085,4
C0086,1
C0087,0
C0088,2
C0089,4
C0090,1
C0091,1
C0092,4
C0093,3
C0094,2
C0095,2
C0096,3
C0097,2
C0098,1
C0099,3
C0100,3
C0101,0
C0102,3
C0103,4
C0104,3
C0105,3
C0106,1
C0107,1
C0108,3
C0109,0
C0110,2
C0111,2
C0112,2
C0113,0
C0114,3
C0115,4
C0116,1
C0117,1
C0118,1
C0119,2
C0120,4
C0121,2
C0122,3
C0123,4
C0124,3
C0125,1
C0126,1
C0127,4
C0128,4
C0129,1
C0130,4
C0131,4
C0132,1
C0133,1
C0134,2
C0135,1
C0136,0
C0137,1
C0138,3
C0139,1
C0140,4
C0141,3
C0142,2
C0143,0
C0144,2
C0145,3
C0146,4
C0147,1
C0148,3
C0149,3
C0150,4
C0151,2
C0152,1
C0153,3
C0154,1
C0155,3
C0156,0
C0157,2
C0158,4
C0159,1
C0160,1
C0161,1
C0162,0
C0163,3
C0164,1
C0165,0
C0166,1
C0167,1
C0168,3
C0169,0
C0170,3
C0171,3
C0172,2
C0173,0
C0174,1
C0175,0
C0176,2
C0177,1
C0178,1
C0179,1
C0181,1
C0182,3
C0183,1
C0184,4
C0185,4
C0186,4
C0187,4
C0188,3
C0189,1
C0190,1
C0191,1
C0192,4
C0193,1
C0194,1
C0195,1
C0196,3
C0197,2
C0198,2
C0199,1
C0200,3
